STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1967,,4615090,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1968,,4608380,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1969,,4597532,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1970,,4596767,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1971,,4610432,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1972,,4639371,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1973,,4675146,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1974,,4692895,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1975,,4691119,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1976,,4706563,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1977,,4740521,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1978,,4771363,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1979,,4800847,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1980,,4845110,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1981,,4913282,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1982,,4977651,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1983,,5031472,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1984,,5080106,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1985,,5107367,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1986,,5120849,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1987,,5126015,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1988,,5129048,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1989,,5148389,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1990,,5185743,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1991,,5233253,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1992,,5284260,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1993,,5319525,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1994,,5329896,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1995,,5329993,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1996,,5335962,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1997,,5347245,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1998,,5361371,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1999,,5383258,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,2000,,5410260,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,2001,,5446199,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1950,,8797541,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1951,,8880545,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1952,,9099247,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1953,,9282520,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1954,,9488531,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1955,,9669208,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1956,,9839922,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1957,,10117688,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1958,,10338714,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1959,,10538714,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1960,,10727509,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1961,,10903316,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1962,,11106447,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1963,,11321585,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1964,,11577634,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1965,,11850526,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1966,,12204621,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1967,,12548379,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1968,,12876416,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1969,,13191436,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1970,,13512946,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1971,,13766356,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1972,,14072053,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1973,,14397461,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1974,,14760170,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1975,,15126340,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1976,,15466570,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1977,,15770364,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1978,,16053582,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1979,,16325970,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1980,,16636938,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1981,,16910264,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1982,,17149959,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1983,,17344480,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1984,,17525217,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1985,,17689106,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1986,,17878120,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1987,,18082037,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1988,,18288208,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1989,,18594227,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1990,,18837266,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1991,,19029372,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1992,,19207617,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1993,,19392564,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1994,,19605196,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1995,,19821323,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1996,,20045175,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1997,,20273849,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,CAN,Canada,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1998,,20472632,,A,Normal value,0,Units,0,Zero
